input_domain,final_url,reg_domain,score,bucket,confidence,pages_fetched,success_rate,sitemap_found,blocked_or_captcha,adsense_pub_ids,gtm_ids,ga_ids,reasons
coches.net,https://www.coches.net/,coches.net,44,Need more evidence,0.1,2,1.0,False,True,,,,Thin content on sampled pages (low median text length) ; High template/boilerplate similarity across pages ; No obvious Article/News structured data detected ; High outbound/external link ratio ; Affiliate/arbitrage markers detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found
pelobuddy.com,https://www.pelobuddy.com/,pelobuddy.com,48,Need more evidence,0.1,1,1.0,False,True,,,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; High outbound/external link ratio ; Affiliate/arbitrage markers detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found ; Push/notification prompting keywords detected
gloryofthesnow.com,https://www.gloryofthesnow.com/,gloryofthesnow.com,48,Need more evidence,0.1,1,1.0,False,True,,,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; High outbound/external link ratio ; Affiliate/arbitrage markers detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found ; Push/notification prompting keywords detected
neowin.net,https://neowin.net/,neowin.net,49,Need more evidence,0.1,1,1.0,False,True,,,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; High outbound/external link ratio ; Affiliate/arbitrage markers detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found
therugbyforum.com,https://therugbyforum.com/,therugbyforum.com,49,Need more evidence,0.1,1,1.0,False,True,,,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; High outbound/external link ratio ; Affiliate/arbitrage markers detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found
it.bab.la,https://it.bab.la/,bab.la,49,Need more evidence,0.1,1,1.0,False,True,,,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; High outbound/external link ratio ; Affiliate/arbitrage markers detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found
gamejolt.com,https://gamejolt.com/,gamejolt.com,49,Need more evidence,0.1,1,1.0,False,True,,,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; High outbound/external link ratio ; Affiliate/arbitrage markers detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found
filmibeat.com,https://filmibeat.com/,filmibeat.com,49,Need more evidence,0.1,1,1.0,False,True,,,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; High outbound/external link ratio ; Affiliate/arbitrage markers detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found
boldsky.com,https://boldsky.com/,boldsky.com,49,Need more evidence,0.1,1,1.0,False,True,,,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; High outbound/external link ratio ; Affiliate/arbitrage markers detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found
autocarindia.com,https://www.autocarindia.com/,autocarindia.com,49,Need more evidence,0.1,1,1.0,False,True,,,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; High outbound/external link ratio ; Affiliate/arbitrage markers detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found
outsidergaming.com,https://outsidergaming.com/,outsidergaming.com,49,Need more evidence,0.1,1,1.0,False,True,,,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; High outbound/external link ratio ; Affiliate/arbitrage markers detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found
manchestereveningnews.co.uk,https://www.manchestereveningnews.co.uk/,manchestereveningnews.co.uk,50,Need more evidence,0.1,1,1.0,False,True,,GTM-M3TH25P|GTM-P8CPVHF|GTM-PNLXFZS,UA-110513849-44|UA-47740725-1,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; Affiliate/arbitrage markers detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found ; Push/notification prompting keywords detected ; Interstitial/overlay/dark-pattern keywords detected
collectorfreaks.com,https://collectorfreaks.com/,collectorfreaks.com,52,Need more evidence,0.1,1,1.0,False,True,,,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; Affiliate/arbitrage markers detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found
whatshotblog.com,https://whatshotblog.com/,whatshotblog.com,52,Need more evidence,0.1,1,1.0,False,True,,,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; Affiliate/arbitrage markers detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found ; Auto-refresh / ad refresh keywords detected
growjourney.com,https://growjourney.com/,growjourney.com,52,Need more evidence,0.1,1,1.0,False,True,,,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; Affiliate/arbitrage markers detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found ; Auto-refresh / ad refresh keywords detected
radiokerry.ie,https://www.radiokerry.ie/,radiokerry.ie,52,Need more evidence,0.1,1,1.0,False,True,,GTM-KLB2WFK,,Thin content on sampled pages (low median text length) ; Affiliate/arbitrage markers detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found ; Push/notification prompting keywords detected ; Interstitial/overlay/dark-pattern keywords detected
thehistoriantraveller.com,https://thehistoriantraveller.com/,thehistoriantraveller.com,52,Need more evidence,0.1,1,1.0,False,True,,,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; Affiliate/arbitrage markers detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found ; Auto-refresh / ad refresh keywords detected
ouroffbeatlife.com,https://ouroffbeatlife.com/,ouroffbeatlife.com,52,Need more evidence,0.1,1,1.0,False,True,,,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; Affiliate/arbitrage markers detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found ; Auto-refresh / ad refresh keywords detected
vinted.pl,https://www.vinted.pl/,vinted.pl,54,Need more evidence,0.35,6,1.0,False,True,,GTM-KHH6J47,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; Very high third-party script load ; Affiliate/arbitrage markers detected ; No clear Contact page found ; Push/notification prompting keywords detected ; Interstitial/overlay/dark-pattern keywords detected ; Auto-refresh / ad refresh keywords detected
collegefootballnews.com,https://collegefootballnews.com/,collegefootballnews.com,55,Need more evidence,0.1,1,1.0,False,True,,,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found
indianrail.gov.in,https://www.indianrail.gov.in/enquiry/StaticPages/StaticEnquiry.jsp?StaticPage=index.html,indianrail.gov.in,58,Need more evidence,0.35,5,0.833,False,True,,,UA-90876119-1,High template/boilerplate similarity across pages ; No obvious Article/News structured data detected ; Affiliate/arbitrage markers detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found ; Push/notification prompting keywords detected ; Interstitial/overlay/dark-pattern keywords detected
supplyme.com,https://www.supplyme.com/,supplyme.com,59,Need more evidence,0.5,2,1.0,False,False,,,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; High outbound/external link ratio ; Affiliate/arbitrage markers detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found ; Interstitial/overlay/dark-pattern keywords detected
manhaircuts.com,https://manhaircuts.com/,manhaircuts.com,60,Need more evidence,0.6,2,1.0,True,False,,,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; High outbound/external link ratio ; Affiliate/arbitrage markers detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found ; Push/notification prompting keywords detected
swingcompleto.com,https://swingcompleto.com/,swingcompleto.com,60,Need more evidence,0.5,1,1.0,False,False,,,G-DB47P62DYS,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; High outbound/external link ratio ; Affiliate/arbitrage markers detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found ; Push/notification prompting keywords detected
webbeteg.hu,https://www.webbeteg.hu/,webbeteg.hu,60,Need more evidence,0.35,6,1.0,False,True,,GTM-W594JSH,,High template/boilerplate similarity across pages ; No obvious Article/News structured data detected ; Affiliate/arbitrage markers detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found ; Push/notification prompting keywords detected
boardgamesonline.net,https://boardgamesonline.net/,boardgamesonline.net,61,Need more evidence,0.45,9,1.0,True,True,pub-4105880164734770|pub-8878894326127079,,G-CSN49B7KEB,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; Affiliate/arbitrage markers detected ; No clear About page found ; No clear Contact page found ; Push/notification prompting keywords detected ; Interstitial/overlay/dark-pattern keywords detected ; Auto-refresh / ad refresh keywords detected
lakeexpo.com,https://www.lakeexpo.com/,lakeexpo.com,61,Need more evidence,0.45,9,1.0,True,True,,GTM-PDQV3N,G-PEEPFGZNZD|UA-494828-3,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; Affiliate/arbitrage markers detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found ; Push/notification prompting keywords detected ; Interstitial/overlay/dark-pattern keywords detected
sweetandsavorybyshinee.com,https://www.sweetandsavorybyshinee.com/,sweetandsavorybyshinee.com,61,Need more evidence,0.45,9,1.0,True,True,,,G-E4N5D17WLZ,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; Affiliate/arbitrage markers detected ; No clear Contact page found ; No clear Privacy/Terms links found ; Push/notification prompting keywords detected ; Interstitial/overlay/dark-pattern keywords detected ; Auto-refresh / ad refresh keywords detected
screenrant.com,http://screenrant.com/,screenrant.com,62,Need more evidence,0.3,0,0.0,False,False,,,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found
xda-developers.com,http://xda-developers.com/,xda-developers.com,62,Need more evidence,0.3,0,0.0,False,False,,,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found
dreambiglivetinyco.com,https://www.dreambiglivetinyco.com/,dreambiglivetinyco.com,62,Need more evidence,0.45,9,1.0,True,True,,,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; Affiliate/arbitrage markers detected ; No clear About page found ; No clear Privacy/Terms links found ; Push/notification prompting keywords detected ; Interstitial/overlay/dark-pattern keywords detected
clubtouareg.com,http://clubtouareg.com/,clubtouareg.com,62,Need more evidence,0.3,0,0.0,False,False,,,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found
artistforum.com,http://artistforum.com/,artistforum.com,62,Need more evidence,0.3,0,0.0,False,False,,,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found
crazyforcouponing.com,http://crazyforcouponing.com/,crazyforcouponing.com,62,Need more evidence,0.3,0,0.0,False,False,,,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found
holdpont.hu,http://holdpont.hu/,holdpont.hu,62,Need more evidence,0.3,0,0.0,False,False,,,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found
falmouthpacket.co.uk,http://falmouthpacket.co.uk/,falmouthpacket.co.uk,62,Need more evidence,0.3,0,0.0,False,False,,,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found
planetminis.com,http://planetminis.com/,planetminis.com,62,Need more evidence,0.3,0,0.0,False,False,,,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found
gr86.org,http://gr86.org/,gr86.org,62,Need more evidence,0.3,0,0.0,False,False,,,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found
flyinggiants.com,http://flyinggiants.com/,flyinggiants.com,62,Need more evidence,0.3,0,0.0,False,False,,,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found
pitpass.com,http://pitpass.com/,pitpass.com,62,Need more evidence,0.3,0,0.0,False,False,,,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found
ifish.net,http://ifish.net/,ifish.net,62,Need more evidence,0.3,0,0.0,False,False,,,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found
organisedprettyhome.com,http://organisedprettyhome.com/,organisedprettyhome.com,62,Need more evidence,0.3,0,0.0,False,False,,,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found
asianfanfics.com,https://www.asianfanfics.com/,asianfanfics.com,62,Need more evidence,0.5,2,1.0,False,False,,,,Homepage template signature appears on 35 domains (near-duplicate cluster) ; Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; Affiliate/arbitrage markers detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found ; Auto-refresh / ad refresh keywords detected
roadbikereview.com,http://roadbikereview.com/,roadbikereview.com,62,Need more evidence,0.3,0,0.0,False,False,,,,Thin content on sampled pages (low median text length) ; No obvious Article/News structured data detected ; No clear About page found ; No clear Contact page found ; No clear Privacy/Terms links found
yesmissy.com,https://yesmissy.com/,yesmissy.com,62,Need more evidence,0.45,9,1.0,True,True,,,G-0YY5JJKMJV|UA-41541724-1,High template/boilerplate similarity across pages ; No obvious Article/News structured data detected ; Affiliate/arbitrage markers detected ; No clear Privacy/Terms links found ; Push/notification prompting keywords detected ; Interstitial/overlay/dark-pattern keywords detected ; Auto-refresh / ad refresh keywords detected
